,area,bbox_area,convex_area,eccentricity,equivalent_diameter,extent,filled_area,major_axis_length,minor_axis_length,orientation,perimeter,solidity,shannon_entropy,num_subregions,proportion_occupied,subregion_mean_area,subregion_std_area,red_color_mean,red_color_std,red_color_median,red_color_shannon_entropy,green_color_mean,green_color_std,green_color_median,green_color_shannon_entropy,blue_color_mean,blue_color_std,blue_color_median,blue_color_shannon_entropy,ratio_r_b,ratio_r_g,ratio_b_g
20180129-IceEdge-sample0127-nettow-20ml_000007_0033.tif,2077,4620,2116,0.17776822197147518,51.42488244434724,0.8477551020408163,2077,52.2274064124636,51.3955483996337,0.09009812560467652,173.1543289325507,0.9815689981096408,12.517172351996178,14.0,0.22773230621088109,434.0,0.0,189.86831602957358,28.24334240477835,205.0,10.94247855430093,199.92460533812158,31.248975412532705,215.0,10.926989407932284,195.5985472914884,28.955678386195164,207.0,10.928493808846783,0.9707041215731761,0.9496995915458213,0.9783615526497262
20180129-IceEdge-sample0127-nettow-20ml_000007_0034.tif,1024,2304,1024,0.0,36.1081333470564,1.0,1024,36.932370625238775,36.932370625238775,0.7853981633974483,124.0,1.0,11.564297023781815,8.0,0.3857421875,356.0,0.0,138.228515625,5.044804047105287,141.5,9.983999690496027,142.017578125,3.153182091025707,141.75,9.984771237243494,126.5869140625,6.2111715908524445,118.25,9.973625543480182,1.0919652844744454,0.9733197640036857,0.8913468018098551
20180129-IceEdge-sample0127-nettow-20ml_000007_0035.tif,33713,82236,50657,0.8308618994647283,207.18282933596726,0.4611901504787962,33713,308.09263656147084,171.4469789288581,1.3326032661436464,1361.946355599587,0.6655151311763429,16.463576528567245,30.0,0.4708272773114229,7863.0,7788.0,211.4844414474093,23.12675362112869,254.0,14.902540105249924,211.11510273862464,24.18489938072877,255.0,14.891142625685118,205.3785500036458,23.73185918120316,255.0,14.841448447574647,1.0297299374431024,1.001749466068479,0.9728273692380924
20180129-IceEdge-sample0127-nettow-20ml_000007_0036.tif,2220,4015,2221,0.7294763875401354,53.165701249132994,0.9986504723346828,2220,65.73259995718868,44.9614923812172,-1.5659655744395689,187.4142135623731,0.9995497523638001,12.55126155751279,2.0,0.6891891891891891,1529.0,0.0,151.07022542110258,16.67392730765987,127.0,11.016757512036163,146.2907732293697,16.9815858494808,124.0,11.017992777145238,118.78085170190433,19.381342990352927,75.0,10.865749106401045,1.2718398904920512,1.0326709066212887,0.8119503990567299
20180129-IceEdge-sample0127-nettow-20ml_000007_0037.tif,6991,12036,7762,0.9801065455914793,94.34626467032768,0.8647946561108362,6991,220.91878791630725,43.84620731341055,1.5535306825985633,469.7817459305202,0.9006699304303015,14.18777567337841,9.0,0.5096552710627951,443.75,297.5935777196813,170.31744352075182,9.78492703635631,187.5,12.63181454188009,173.21492320454627,7.793128065092733,195.0,12.622526821371567,170.79587975925156,14.193122280220514,194.0,12.552998576170607,0.9971987834883714,0.98327234380162,0.9860344397552969
20180129-IceEdge-sample0127-nettow-20ml_000007_0038.tif,5264,9492,6150,0.750221708213088,81.86777732103087,0.7980594299575501,5264,106.47229427459871,70.39802755504417,-0.30459717063204056,357.3380951166243,0.8559349593495935,13.904826946798558,10.0,0.3009118541033435,524.3333333333334,316.47678517634677,171.40883919391112,13.373680345363749,187.0,12.331916131888095,175.50619585772594,14.57284875151595,192.0,12.328264330183634,184.34794138900216,18.52920826890727,207.0,12.301941821622133,0.9298115178417558,0.9766540625885576,1.0503785378519843
20180129-IceEdge-sample0127-nettow-20ml_000007_0039.tif,3330,5590,3361,0.712172847154773,65.11441993881303,0.9708454810495627,3330,79.43706633290854,55.765150747689155,1.5034073409766353,231.55634918610406,0.9907765545968462,13.142215343378608,3.0,0.639039039039039,1056.5,996.5,150.98966104680724,10.171713995660351,136.0,11.599575169697864,152.4345600846389,8.994078778937713,133.5,11.591335780677538,141.99866276884336,14.341671529204735,117.0,11.477893564657162,1.0633174855498473,0.9905211847167115,0.9315385086557731
20180129-IceEdge-sample0127-nettow-20ml_000007_0040.tif,1881,3950,1987,0.8664804890475084,48.938365150941046,0.8781512605042017,1881,71.01277840952827,35.45035582515364,-1.4254389834268582,185.698484809835,0.9466532460996477,12.341542602074883,19.0,0.227538543328017,197.5,4.5,198.02479024098164,22.541432311637468,227.0,10.764992219709145,198.7421945547165,21.510865773121278,229.25,10.778126980081936,184.60662771577972,17.164049730048614,228.5,10.727136553357028,1.0726851613684234,0.9963902767837389,0.928874857849851
20180129-IceEdge-sample0127-nettow-20ml_000007_0041.tif,1564,3100,1564,0.6737215368532151,44.62450725740055,1.0,1564,53.103672189407014,39.242833740697165,-0.0,156.0,1.0,11.67214293672164,1.0,0.8574168797953964,1341.0,0.0,90.86253196930946,21.286363001732898,52.5,10.167551627738423,87.96099744245525,23.351166945447282,44.75,10.085100043661882,84.68670076726343,28.749837487277844,35.5,10.004962216292249,1.0729256323140808,1.0329866032812147,0.9627755849706696
20180129-IceEdge-sample0127-nettow-20ml_000007_0042.tif,2030,3850,2037,0.8319618227905338,50.83971160237222,0.9787849566055931,2030,69.50599330441644,38.5642104855669,-0.041156674489537116,181.8994949366117,0.9965635738831615,12.445259005756213,1.0,0.6029556650246305,1224.0,0.0,168.8017760751879,10.269986626687306,169.0,10.907782983971012,163.62153643735866,9.834603182121679,166.0,10.871083922324486,141.30157010664033,14.823868905923025,121.5,10.805460320241961,1.1946206680349918,1.0316598887323885,0.8635878453612775
